"No.","Time","Source","Destination","Protocol","Length","Info"
"2975","6.878625","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2993","6.957673","104.198.218.190","10.1.10.11","TLSv1.2","342","Application Data"
"3002","6.963910","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3010","7.013256","104.198.218.190","10.1.10.11","TLSv1.2","475","Application Data, Application Data, Application Data"
"3030","7.049801","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3037","7.078094","104.198.218.190","10.1.10.11","TLSv1.2","408","Application Data, Application Data"
"3067","7.128955","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3111","7.220655","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3133","7.298170","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3207","7.387476","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3236","7.477915","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3271","7.558017","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3291","7.638656","104.198.218.190","10.1.10.11","TLSv1.2","347","Application Data"
"3299","7.649427","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3331","7.727470","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3352","7.817427","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3378","7.897392","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3427","7.992437","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3466","8.067622","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3499","8.157963","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3527","8.238150","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3567","8.330443","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3612","8.414858","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3664","8.500106","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3724","8.585715","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3784","8.670405","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3844","8.757358","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3888","8.837544","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3935","8.931481","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3978","9.007298","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4019","9.097328","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4066","9.179057","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4114","9.268684","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4116","9.272474","104.198.218.190","10.1.10.11","TLSv1.2","347","Application Data"
"4139","9.340292","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"4145","9.347257","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4154","9.391074","104.198.218.190","10.1.10.11","TLSv1.2","422","Application Data, Application Data"
"4179","9.437170","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4187","9.464414","104.198.218.190","10.1.10.11","TLSv1.2","426","Application Data, Application Data"
"4216","9.519391","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4222","9.530957","104.198.218.190","10.1.10.11","TLSv1.2","430","Application Data, Application Data"
"4271","9.598416","104.198.218.190","10.1.10.11","TLSv1.2","431","Application Data, Application Data"
"4285","9.608870","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4324","9.688733","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4380","9.779498","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4432","9.857555","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4434","9.861047","104.198.218.190","10.1.10.11","TLSv1.2","342","Application Data"
"4474","9.932481","104.198.218.190","10.1.10.11","TLSv1.2","148","Application Data"
"4487","9.947487","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4505","9.993490","104.198.218.190","10.1.10.11","TLSv1.2","818","Application Data, Application Data, Application Data, Application Data"
"4536","10.052818","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4541","10.059158","104.198.218.190","10.1.10.11","TLSv1.2","439","Application Data, Application Data"
"4579","10.118205","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4591","10.148697","104.198.218.190","10.1.10.11","TLSv1.2","370","Application Data"
"4637","10.207951","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4638","10.214395","104.198.218.190","10.1.10.11","TLSv1.2","512","Application Data, Application Data, Application Data"
"4669","10.287548","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4698","10.377212","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4699","10.388807","104.198.218.190","10.1.10.11","TLSv1.2","370","Application Data"
"4761","10.457635","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4762","10.459423","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
